"","Easting","Northing","anomaly"
"2173",21,72,-1.08768020969856
"2174",21,73,-0.987680209698558
"2175",21,74,-0.887680209698559
"2176",21,75,-0.987680209698558
"2177",21,76,-0.987680209698558
"2178",21,77,-1.08768020969856
"2179",21,78,-1.08768020969856
"2180",21,79,-0.987680209698558
"2181",21,80,-1.08768020969856
"2182",21,81,-0.887680209698559
"2183",21,82,-0.787680209698557
"2184",21,83,-0.787680209698557
"2185",21,84,-0.887680209698559
"2186",21,85,-0.987680209698558
"2187",21,86,-0.987680209698558
"2188",21,87,-1.08768020969856
"2189",21,88,-1.38768020969856
"2190",21,89,-1.58768020969856
"2191",21,90,-1.68768020969856
"2192",21,91,-1.88768020969856
"2193",21,92,-2.18768020969856
"2194",21,93,-2.28768020969856
"2206",22,5,-1.38768020969856
"2207",22,6,-1.28768020969856
"2208",22,7,-1.18768020969856
"2209",22,8,-1.18768020969856
"2210",22,9,-1.28768020969856
"2211",22,10,-1.28768020969856
"2212",22,11,-1.18768020969856
"2213",22,12,-1.18768020969856
"2222",22,21,-0.887680209698559
"2223",22,22,-0.887680209698559
"2224",22,23,-0.987680209698558
"2225",22,24,-1.08768020969856
"2234",22,33,-1.48768020969856
"2248",22,47,-1.88768020969856
"2256",22,55,-1.68768020969856
"2257",22,56,-1.48768020969856
"2258",22,57,-1.28768020969856
"2259",22,58,-1.18768020969856
"2260",22,59,-1.08768020969856
"2261",22,60,-1.18768020969856
"2265",22,64,-1.38768020969856
"2266",22,65,-1.18768020969856
"2267",22,66,-0.987680209698558
"2268",22,67,-0.987680209698558
"2269",22,68,-0.987680209698558
"2270",22,69,-0.787680209698557
"2271",22,70,-0.687680209698557
"2272",22,71,-0.687680209698557
"2273",22,72,-0.687680209698557
"2274",22,73,-0.787680209698557
"2275",22,74,-0.687680209698557
"2276",22,75,-0.687680209698557
"2277",22,76,-0.787680209698557
"2278",22,77,-0.687680209698557
"2279",22,78,-0.887680209698559
"2280",22,79,-0.787680209698557
"2281",22,80,-0.787680209698557
"2282",22,81,-0.787680209698557
"2283",22,82,-0.687680209698557
"2284",22,83,-0.687680209698557
"2285",22,84,-0.787680209698557
"2286",22,85,-0.887680209698559
"2287",22,86,-0.987680209698558
"2288",22,87,-0.987680209698558
"2289",22,88,-1.08768020969856
"2290",22,89,-1.38768020969856
"2291",22,90,-1.48768020969856
"2292",22,91,-1.78768020969856
"2293",22,92,-1.88768020969856
"2294",22,93,-2.08768020969856
"2295",22,94,-2.38768020969856
"2296",22,95,-2.58768020969856
"2297",22,96,-2.78768020969856
"2306",23,5,-1.28768020969856
"2307",23,6,-1.18768020969856
"2308",23,7,-1.08768020969856
"2309",23,8,-1.08768020969856
"2310",23,9,-1.18768020969856
"2311",23,10,-1.18768020969856
"2312",23,11,-1.08768020969856
"2322",23,21,-0.687680209698557
"2323",23,22,-0.687680209698557
"2324",23,23,-0.787680209698557
"2325",23,24,-0.887680209698559
"2326",23,25,-0.987680209698558
"2334",23,33,-1.38768020969856
"2338",23,37,-1.38768020969856
"2339",23,38,-1.48768020969856
"2348",23,47,-1.78768020969856
"2349",23,48,-1.58768020969856
"2350",23,49,-1.68768020969856
"2355",23,54,-1.58768020969856
"2356",23,55,-1.48768020969856
"2357",23,56,-1.38768020969856
"2358",23,57,-1.18768020969856
"2359",23,58,-0.987680209698558
"2360",23,59,-0.787680209698557
"2361",23,60,-0.887680209698559
"2362",23,61,-0.987680209698558
"2363",23,62,-1.08768020969856
"2364",23,63,-1.08768020969856
"2365",23,64,-1.18768020969856
"2366",23,65,-0.987680209698558
"2367",23,66,-0.787680209698557
"2368",23,67,-0.787680209698557
"2369",23,68,-0.687680209698557
"2370",23,69,-0.587680209698558
"2371",23,70,-0.687680209698557
"2372",23,71,-0.487680209698558
"2373",23,72,-0.487680209698558
"2374",23,73,-0.487680209698558
"2375",23,74,-0.387680209698559
"2376",23,75,-0.487680209698558
"2377",23,76,-0.387680209698559
"2378",23,77,-0.487680209698558
"2379",23,78,-0.587680209698558
"2380",23,79,-0.487680209698558
"2381",23,80,-0.687680209698557
"2382",23,81,-0.487680209698558
"2383",23,82,-0.487680209698558
"2384",23,83,-0.687680209698557
"2385",23,84,-0.587680209698558
"2386",23,85,-0.787680209698557
"2387",23,86,-0.987680209698558
"2388",23,87,-0.887680209698559
"2389",23,88,-0.887680209698559
"2390",23,89,-1.38768020969856
"2391",23,90,-1.58768020969856
"2392",23,91,-1.68768020969856
"2393",23,92,-1.78768020969856
"2394",23,93,-2.08768020969856
"2395",23,94,-2.08768020969856
"2396",23,95,-2.38768020969856
"2397",23,96,-2.78768020969856
"2406",24,5,-1.18768020969856
"2407",24,6,-1.08768020969856
"2408",24,7,-0.887680209698559
"2409",24,8,-0.887680209698559
"2410",24,9,-1.08768020969856
"2411",24,10,-1.08768020969856
"2412",24,11,-1.08768020969856
"2413",24,12,-1.08768020969856
"2421",24,20,-0.587680209698558
"2422",24,21,-0.587680209698558
"2423",24,22,-0.587680209698558
"2424",24,23,-0.587680209698558
"2425",24,24,-0.787680209698557
"2426",24,25,-0.787680209698557
"2435",24,34,-1.18768020969856
"2436",24,35,-1.28768020969856
"2437",24,36,-1.28768020969856
"2438",24,37,-1.38768020969856
"2439",24,38,-1.28768020969856
"2449",24,48,-1.38768020969856
"2450",24,49,-1.58768020969856
"2455",24,54,-1.38768020969856
"2456",24,55,-1.28768020969856
"2457",24,56,-1.18768020969856
"2458",24,57,-0.887680209698559
"2459",24,58,-0.687680209698557
"2460",24,59,-0.687680209698557
"2461",24,60,-0.687680209698557
"2462",24,61,-0.787680209698557
"2463",24,62,-0.887680209698559
"2464",24,63,-0.987680209698558
"2465",24,64,-0.787680209698557
"2466",24,65,-0.687680209698557
"2467",24,66,-0.687680209698557
"2468",24,67,-0.387680209698559
"2469",24,68,-0.487680209698558
"2470",24,69,-0.487680209698558
"2471",24,70,-0.387680209698559
"2472",24,71,-0.287680209698557
"2473",24,72,-0.287680209698557
"2474",24,73,-0.187680209698557
"2475",24,74,-0.187680209698557
"2476",24,75,-0.287680209698557
"2477",24,76,-0.287680209698557
"2478",24,77,-0.0876802096985578
"2479",24,78,-0.187680209698557
"2480",24,79,-0.187680209698557
"2481",24,80,-0.187680209698557
"2482",24,81,-0.487680209698558
"2483",24,82,-0.387680209698559
"2484",24,83,-0.587680209698558
"2485",24,84,-0.587680209698558
"2486",24,85,-0.887680209698559
"2487",24,86,-0.687680209698557
"2488",24,87,-0.787680209698557
"2489",24,88,-1.08768020969856
"2490",24,89,-1.28768020969856
"2491",24,90,-1.48768020969856
"2492",24,91,-1.58768020969856
"2493",24,92,-1.88768020969856
"2494",24,93,-1.78768020969856
"2495",24,94,-2.08768020969856
"2496",24,95,-2.38768020969856
"2506",25,5,-1.08768020969856
"2507",25,6,-0.887680209698559
"2508",25,7,-0.587680209698558
"2509",25,8,-0.587680209698558
"2510",25,9,-0.787680209698557
"2511",25,10,-0.887680209698559
"2512",25,11,-0.987680209698558
"2513",25,12,-0.987680209698558
"2514",25,13,-0.887680209698559
"2515",25,14,-0.687680209698557
"2520",25,19,-0.587680209698558
"2521",25,20,-0.487680209698558
"2522",25,21,-0.387680209698559
"2523",25,22,-0.487680209698558
"2524",25,23,-0.487680209698558
"2525",25,24,-0.587680209698558
"2526",25,25,-0.787680209698557
"2527",25,26,-0.887680209698559
"2535",25,34,-0.887680209698559
"2536",25,35,-0.887680209698559
"2537",25,36,-1.08768020969856
"2538",25,37,-1.18768020969856
"2556",25,55,-0.987680209698558
"2557",25,56,-0.787680209698557
"2558",25,57,-0.687680209698557
"2559",25,58,-0.587680209698558
"2560",25,59,-0.587680209698558
"2561",25,60,-0.587680209698558
"2562",25,61,-0.587680209698558
"2563",25,62,-0.787680209698557
"2564",25,63,-0.687680209698557
"2565",25,64,-0.487680209698558
"2566",25,65,-0.487680209698558
"2567",25,66,-0.387680209698559
"2568",25,67,-0.287680209698557
"2569",25,68,-0.187680209698557
"2570",25,69,-0.287680209698557
"2571",25,70,-0.287680209698557
"2572",25,71,-0.0876802096985578
"2573",25,72,-0.187680209698557
"2574",25,73,0.0123197903014418
"2575",25,74,0.0123197903014418
"2576",25,75,0.0123197903014418
"2577",25,76,0.112319790301441
"2578",25,77,0.112319790301441
"2579",25,78,0.0123197903014418
"2580",25,79,-0.0876802096985578
"2581",25,80,0.112319790301441
"2582",25,81,-0.187680209698557
"2583",25,82,-0.387680209698559
"2584",25,83,-0.487680209698558
"2585",25,84,-0.687680209698557
"2586",25,85,-0.787680209698557
"2587",25,86,-0.787680209698557
"2588",25,87,-0.887680209698559
"2589",25,88,-1.08768020969856
"2590",25,89,-1.28768020969856
"2591",25,90,-1.38768020969856
"2592",25,91,-1.68768020969856
"2593",25,92,-1.78768020969856
"2594",25,93,-1.88768020969856
"2595",25,94,-2.08768020969856
"2596",25,95,-2.28768020969856
"2597",25,96,-2.48768020969856
"2605",26,4,-1.18768020969856
"2606",26,5,-0.987680209698558
"2607",26,6,-0.687680209698557
"2608",26,7,-0.487680209698558
"2609",26,8,-0.387680209698559
"2610",26,9,-0.587680209698558
"2611",26,10,-0.787680209698557
"2612",26,11,-0.787680209698557
"2613",26,12,-0.787680209698557
"2614",26,13,-0.687680209698557
"2615",26,14,-0.487680209698558
"2620",26,19,-0.387680209698559
"2621",26,20,-0.187680209698557
"2622",26,21,-0.187680209698557
"2623",26,22,-0.287680209698557
"2624",26,23,-0.387680209698559
"2625",26,24,-0.387680209698559
"2626",26,25,-0.587680209698558
"2627",26,26,-0.687680209698557
"2628",26,27,-0.887680209698559
"2629",26,28,-0.987680209698558
"2630",26,29,-0.987680209698558
"2631",26,30,-0.787680209698557
"2632",26,31,-0.787680209698557
"2633",26,32,-0.787680209698557
"2634",26,33,-0.887680209698559
"2635",26,34,-0.787680209698557
"2636",26,35,-0.687680209698557
"2637",26,36,-0.687680209698557
"2656",26,55,-0.787680209698557
"2657",26,56,-0.687680209698557
"2658",26,57,-0.587680209698558
"2659",26,58,-0.487680209698558
"2660",26,59,-0.387680209698559
"2661",26,60,-0.287680209698557
"2662",26,61,-0.487680209698558
"2663",26,62,-0.487680209698558
"2664",26,63,-0.487680209698558
"2665",26,64,-0.387680209698559
"2666",26,65,-0.387680209698559
"2667",26,66,-0.187680209698557
"2668",26,67,-0.0876802096985578
"2669",26,68,-0.0876802096985578
"2670",26,69,-0.187680209698557
"2671",26,70,-0.187680209698557
"2672",26,71,0.112319790301441
"2673",26,72,0.112319790301441
"2674",26,73,0.112319790301441
"2675",26,74,0.312319790301443
"2676",26,75,0.212319790301443
"2677",26,76,0.312319790301443
"2678",26,77,0.312319790301443
"2679",26,78,0.212319790301443
"2680",26,79,0.112319790301441
"2681",26,80,0.312319790301443
"2682",26,81,0.212319790301443
"2683",26,82,-0.187680209698557
"2684",26,83,-0.387680209698559
"2685",26,84,-0.587680209698558
"2686",26,85,-0.787680209698557
"2687",26,86,-0.887680209698559
"2688",26,87,-0.887680209698559
"2689",26,88,-1.08768020969856
"2690",26,89,-1.28768020969856
"2691",26,90,-1.48768020969856
"2692",26,91,-1.48768020969856
"2693",26,92,-1.48768020969856
"2694",26,93,-1.88768020969856
"2695",26,94,-1.98768020969856
"2696",26,95,-2.28768020969856
"2705",27,4,-1.18768020969856
"2706",27,5,-0.987680209698558
"2707",27,6,-0.787680209698557
"2708",27,7,-0.587680209698558
"2709",27,8,-0.487680209698558
"2710",27,9,-0.587680209698558
"2711",27,10,-0.587680209698558
"2712",27,11,-0.687680209698557
"2713",27,12,-0.687680209698557
"2714",27,13,-0.487680209698558
"2715",27,14,-0.387680209698559
"2720",27,19,-0.187680209698557
"2721",27,20,0.0123197903014418
"2722",27,21,0.112319790301441
"2723",27,22,0.0123197903014418
"2724",27,23,-0.187680209698557
"2725",27,24,-0.187680209698557
"2726",27,25,-0.387680209698559
"2727",27,26,-0.387680209698559
"2728",27,27,-0.587680209698558
"2729",27,28,-0.587680209698558
"2730",27,29,-0.687680209698557
"2731",27,30,-0.687680209698557
"2732",27,31,-0.687680209698557
"2733",27,32,-0.687680209698557
"2734",27,33,-0.587680209698558
"2735",27,34,-0.687680209698557
"2736",27,35,-0.787680209698557
"2737",27,36,-0.787680209698557
"2738",27,37,-0.887680209698559
"2755",27,54,-0.687680209698557
"2756",27,55,-0.487680209698558
"2757",27,56,-0.387680209698559
"2758",27,57,-0.387680209698559
"2759",27,58,-0.287680209698557
"2760",27,59,-0.387680209698559
"2761",27,60,-0.287680209698557
"2762",27,61,-0.387680209698559
"2763",27,62,-0.387680209698559
"2764",27,63,-0.387680209698559
"2765",27,64,-0.387680209698559
"2766",27,65,-0.287680209698557
"2767",27,66,-0.0876802096985578
"2768",27,67,-0.0876802096985578
"2769",27,68,0.0123197903014418
"2770",27,69,-0.187680209698557
"2771",27,70,0.0123197903014418
"2772",27,71,0.0123197903014418
"2773",27,72,0.112319790301441
"2774",27,73,0.312319790301443
"2775",27,74,0.212319790301443
"2776",27,75,0.312319790301443
"2777",27,76,0.312319790301443
"2778",27,77,0.512319790301442
"2779",27,78,0.512319790301442
"2780",27,79,0.312319790301443
"2781",27,80,0.212319790301443
"2782",27,81,0.312319790301443
"2783",27,82,0.112319790301441
"2784",27,83,-0.0876802096985578
"2785",27,84,-0.487680209698558
"2787",27,86,-0.987680209698558
"2788",27,87,-0.987680209698558
"2789",27,88,-1.18768020969856
"2790",27,89,-1.28768020969856
"2791",27,90,-1.38768020969856
"2792",27,91,-1.48768020969856
"2793",27,92,-1.58768020969856
"2794",27,93,-1.78768020969856
"2795",27,94,-1.98768020969856
"2796",27,95,-2.18768020969856
"2806",28,5,-0.987680209698558
"2807",28,6,-0.787680209698557
"2808",28,7,-0.587680209698558
"2809",28,8,-0.587680209698558
"2810",28,9,-0.587680209698558
"2811",28,10,-0.487680209698558
"2812",28,11,-0.487680209698558
"2813",28,12,-0.487680209698558
"2814",28,13,-0.487680209698558
"2815",28,14,-0.287680209698557
"2819",28,18,-0.0876802096985578
"2820",28,19,0.212319790301443
"2821",28,20,0.212319790301443
"2822",28,21,0.212319790301443
"2823",28,22,0.212319790301443
"2824",28,23,0.0123197903014418
"2825",28,24,-0.187680209698557
"2826",28,25,-0.187680209698557
"2827",28,26,-0.287680209698557
"2828",28,27,-0.387680209698559
"2829",28,28,-0.487680209698558
"2830",28,29,-0.487680209698558
"2831",28,30,-0.587680209698558
"2832",28,31,-0.487680209698558
"2833",28,32,-0.387680209698559
"2834",28,33,-0.487680209698558
"2835",28,34,-0.487680209698558
"2836",28,35,-0.687680209698557
"2837",28,36,-0.687680209698557
"2838",28,37,-0.787680209698557
"2856",28,55,-0.587680209698558
"2857",28,56,-0.287680209698557
"2858",28,57,-0.387680209698559
"2859",28,58,-0.287680209698557
"2860",28,59,-0.387680209698559
"2861",28,60,-0.287680209698557
"2862",28,61,-0.287680209698557
"2863",28,62,-0.387680209698559
"2864",28,63,-0.487680209698558
"2865",28,64,-0.287680209698557
"2866",28,65,-0.287680209698557
"2867",28,66,-0.187680209698557
"2868",28,67,-0.0876802096985578
"2869",28,68,-0.0876802096985578
"2870",28,69,0.0123197903014418
"2871",28,70,0.0123197903014418
"2872",28,71,0.0123197903014418
"2873",28,72,0.112319790301441
"2874",28,73,0.312319790301443
"2875",28,74,0.412319790301442
"2876",28,75,0.412319790301442
"2877",28,76,0.412319790301442
"2878",28,77,0.612319790301441
"2879",28,78,0.712319790301443
"2880",28,79,0.612319790301441
"2881",28,80,0.512319790301442
"2882",28,81,0.312319790301443
"2883",28,82,0.112319790301441
"2884",28,83,0.0123197903014418
"2885",28,84,-0.287680209698557
"2886",28,85,-0.687680209698557
"2888",28,87,-0.987680209698558
"2891",28,90,-1.38768020969856
"2892",28,91,-1.38768020969856
"2893",28,92,-1.58768020969856
"2894",28,93,-1.68768020969856
"2895",28,94,-1.98768020969856
"2896",28,95,-2.08768020969856
"2897",28,96,-2.28768020969856
"2908",29,7,-0.587680209698558
"2909",29,8,-0.587680209698558
"2910",29,9,-0.587680209698558
"2911",29,10,-0.387680209698559
"2912",29,11,-0.387680209698559
"2913",29,12,-0.487680209698558
"2914",29,13,-0.287680209698557
"2915",29,14,-0.387680209698559
"2918",29,17,-0.0876802096985578
"2919",29,18,0.112319790301441
"2920",29,19,0.312319790301443
"2921",29,20,0.312319790301443
"2922",29,21,0.412319790301442
"2923",29,22,0.312319790301443
"2924",29,23,0.112319790301441
"2925",29,24,0.0123197903014418
"2926",29,25,0.0123197903014418
"2927",29,26,-0.0876802096985578
"2928",29,27,-0.187680209698557
"2929",29,28,-0.387680209698559
"2930",29,29,-0.387680209698559
"2931",29,30,-0.287680209698557
"2932",29,31,-0.287680209698557
"2933",29,32,-0.287680209698557
"2934",29,33,-0.487680209698558
"2935",29,34,-0.487680209698558
"2936",29,35,-0.487680209698558
"2937",29,36,-0.587680209698558
"2938",29,37,-0.687680209698557
"2957",29,56,-0.387680209698559
"2958",29,57,-0.287680209698557
"2959",29,58,-0.287680209698557
"2960",29,59,-0.187680209698557
"2961",29,60,-0.187680209698557
"2962",29,61,-0.187680209698557
"2963",29,62,-0.387680209698559
"2964",29,63,-0.487680209698558
"2965",29,64,-0.287680209698557
"2966",29,65,-0.287680209698557
"2967",29,66,-0.187680209698557
"2968",29,67,-0.187680209698557
"2969",29,68,-0.0876802096985578
"2970",29,69,0.0123197903014418
"2971",29,70,0.112319790301441
"2972",29,71,0.112319790301441
"2973",29,72,0.112319790301441
"2974",29,73,0.212319790301443
"2975",29,74,0.312319790301443
"2976",29,75,0.512319790301442
"2977",29,76,0.612319790301441
"2978",29,77,0.712319790301443
"2979",29,78,0.812319790301443
"2980",29,79,0.912319790301442
"2981",29,80,0.612319790301441
"2982",29,81,0.312319790301443
"2983",29,82,0.212319790301443
"2984",29,83,0.0123197903014418
"2985",29,84,-0.287680209698557
"2986",29,85,-0.587680209698558
"2992",29,91,-1.38768020969856
"2993",29,92,-1.38768020969856
"2994",29,93,-1.68768020969856
"2995",29,94,-1.88768020969856
"2996",29,95,-1.98768020969856
"2997",29,96,-2.18768020969856
"3009",30,8,-0.487680209698558
"3010",30,9,-0.487680209698558
"3011",30,10,-0.387680209698559
"3012",30,11,-0.387680209698559
"3013",30,12,-0.287680209698557
"3014",30,13,-0.287680209698557
"3018",30,17,0.0123197903014418
"3019",30,18,0.112319790301441
"3020",30,19,0.412319790301442
"3021",30,20,0.412319790301442
"3022",30,21,0.512319790301442
"3023",30,22,0.412319790301442
"3024",30,23,0.412319790301442
"3025",30,24,0.212319790301443
"3026",30,25,0.212319790301443
"3027",30,26,0.112319790301441
"3028",30,27,0.0123197903014418
"3029",30,28,0.0123197903014418
"3030",30,29,-0.187680209698557
"3031",30,30,-0.0876802096985578
"3032",30,31,-0.187680209698557
"3033",30,32,-0.187680209698557
"3034",30,33,-0.0876802096985578
"3035",30,34,-0.287680209698557
"3036",30,35,-0.387680209698559
"3037",30,36,-0.487680209698558
"3038",30,37,-0.487680209698558
"3051",30,50,-0.587680209698558
"3052",30,51,-0.387680209698559
"3053",30,52,-0.487680209698558
"3054",30,53,-0.487680209698558
"3058",30,57,-0.287680209698557
"3059",30,58,-0.187680209698557
"3060",30,59,-0.187680209698557
"3061",30,60,-0.287680209698557
"3062",30,61,-0.287680209698557
"3063",30,62,-0.187680209698557
"3064",30,63,-0.387680209698559
"3065",30,64,-0.287680209698557
"3066",30,65,-0.287680209698557
"3067",30,66,-0.287680209698557
"3068",30,67,-0.187680209698557
"3069",30,68,-0.187680209698557
"3070",30,69,-0.187680209698557
"3071",30,70,0.0123197903014418
"3072",30,71,0.112319790301441
"3073",30,72,0.212319790301443
"3074",30,73,0.312319790301443
"3075",30,74,0.412319790301442
"3076",30,75,0.512319790301442
"3077",30,76,0.512319790301442
"3078",30,77,0.812319790301443
"3079",30,78,0.812319790301443
"3080",30,79,0.812319790301443
"3081",30,80,0.812319790301443
"3082",30,81,0.412319790301442
"3083",30,82,0.212319790301443
"3084",30,83,0.112319790301441
"3085",30,84,-0.187680209698557
"3086",30,85,-0.387680209698559
"3093",30,92,-1.48768020969856
"3094",30,93,-1.68768020969856
"3095",30,94,-1.78768020969856
"3096",30,95,-1.98768020969856
"3097",30,96,-2.08768020969856
"3110",31,9,-0.287680209698557
"3111",31,10,-0.187680209698557
"3112",31,11,-0.0876802096985578
"3113",31,12,-0.287680209698557
"3114",31,13,-0.0876802096985578
