"Easting","Northing","richness"
280000,560000,82
280000,570000,88
280000,580000,78
280000,590000,96
290000,560000,102
290000,570000,78
290000,580000,97
290000,590000,77
300000,500000,102
300000,510000,101
300000,520000,99
300000,530000,95
300000,570000,60
300000,580000,97
300000,590000,59
310000,500000,80
310000,510000,82
310000,520000,96
310000,530000,91
310000,540000,84
310000,550000,93
310000,560000,92
310000,570000,83
310000,580000,75
310000,590000,64
320000,500000,67
320000,510000,78
320000,520000,112
320000,530000,84
320000,540000,86
320000,550000,101
320000,560000,80
320000,570000,57
320000,580000,62
320000,590000,55
330000,500000,94
330000,510000,80
330000,520000,85
330000,530000,86
330000,540000,87
330000,550000,94
330000,560000,95
330000,570000,91
330000,580000,83
330000,590000,63
340000,500000,92
340000,510000,88
340000,520000,92
340000,530000,83
340000,540000,77
340000,550000,96
340000,560000,67
340000,570000,85
340000,580000,82
340000,590000,69
350000,500000,89
350000,510000,97
350000,520000,89
350000,530000,86
350000,540000,97
350000,550000,104
350000,560000,90
350000,570000,84
350000,580000,65
350000,590000,78
360000,500000,100
360000,510000,77
360000,520000,90
360000,530000,89
360000,540000,67
360000,550000,95
360000,560000,82
360000,570000,68
360000,580000,57
360000,590000,64
370000,500000,90
370000,510000,79
370000,520000,69
370000,530000,72
370000,540000,73
370000,550000,88
370000,560000,90
370000,570000,63
370000,580000,74
370000,590000,51
380000,500000,76
380000,510000,79
380000,520000,72
380000,530000,61
380000,540000,67
380000,550000,78
380000,560000,102
380000,570000,93
380000,580000,87
380000,590000,77
390000,500000,82
390000,510000,83
390000,520000,88
390000,530000,78
390000,540000,93
390000,550000,99
390000,560000,82
390000,570000,92
390000,580000,77
390000,590000,83
400000,500000,95
400000,510000,92
400000,520000,88
400000,530000,93
400000,540000,103
400000,550000,92
400000,560000,88
400000,570000,88
400000,580000,87
400000,590000,84
410000,500000,100
410000,510000,78
410000,520000,34
410000,530000,86
410000,540000,63
410000,550000,92
410000,560000,91
410000,570000,76
410000,580000,64
410000,590000,83
420000,500000,83
420000,510000,89
420000,520000,81
420000,530000,82
420000,540000,86
420000,550000,83
420000,560000,68
420000,570000,92
420000,580000,87
420000,590000,93
430000,500000,75
430000,510000,80
430000,520000,61
430000,530000,69
430000,540000,68
430000,550000,95
430000,560000,84
440000,500000,81
440000,510000,83
440000,520000,93
440000,530000,95
450000,500000,68
450000,510000,88
450000,520000,83
460000,500000,53
460000,510000,93
470000,500000,64
470000,510000,102
480000,500000,73
490000,500000,59
310000,480000,101
310000,490000,82
320000,470000,106
320000,480000,98
320000,490000,96
330000,400000,82
330000,410000,91
330000,430000,68
330000,440000,75
330000,470000,85
330000,480000,100
330000,490000,99
340000,400000,61
340000,410000,105
340000,420000,74
340000,430000,61
340000,440000,76
340000,450000,87
340000,460000,87
340000,470000,112
340000,480000,109
340000,490000,90
350000,400000,82
350000,410000,80
350000,420000,68
350000,430000,71
350000,440000,96
350000,450000,104
350000,460000,100
350000,470000,107
350000,480000,97
350000,490000,103
360000,400000,92
360000,410000,97
360000,420000,106
360000,430000,79
360000,440000,99
360000,450000,102
360000,460000,88
360000,470000,98
360000,480000,86
360000,490000,97
370000,400000,78
370000,410000,82
370000,420000,108
370000,430000,94
370000,440000,97
370000,450000,94
370000,460000,88
370000,470000,82
370000,480000,90
370000,490000,85
380000,400000,65
380000,410000,88
380000,420000,100
380000,430000,108
380000,440000,109
380000,450000,100
380000,460000,98
380000,470000,86
380000,480000,87
380000,490000,86
390000,400000,94
390000,410000,89
390000,420000,82
390000,430000,87
390000,440000,77
390000,450000,102
390000,460000,100
390000,470000,90
390000,480000,80
390000,490000,80
400000,400000,82
400000,410000,91
400000,420000,80
400000,430000,77
400000,440000,73
400000,450000,101
400000,460000,80
400000,470000,86
400000,480000,82
400000,490000,98
410000,400000,91
410000,410000,79
410000,420000,72
410000,430000,67
410000,440000,89
410000,450000,87
410000,460000,91
410000,470000,96
410000,480000,95
410000,490000,96
420000,400000,105
420000,410000,89
420000,420000,38
420000,430000,76
420000,440000,97
420000,450000,94
420000,460000,102
420000,470000,118
420000,480000,87
420000,490000,96
430000,400000,109
430000,410000,83
430000,420000,70
430000,430000,86
430000,440000,96
430000,450000,99
430000,460000,104
430000,470000,89
430000,480000,74
430000,490000,80
440000,400000,104
440000,410000,42
440000,420000,83
440000,430000,85
440000,440000,85
440000,450000,83
440000,460000,83
440000,470000,85
440000,480000,76
440000,490000,88
450000,400000,94
450000,410000,83
450000,420000,65
450000,430000,83
450000,440000,83
450000,450000,77
450000,460000,76
450000,470000,81
450000,480000,79
450000,490000,73
460000,400000,84
460000,410000,85
460000,420000,83
460000,430000,95
460000,440000,102
460000,450000,85
460000,460000,78
460000,470000,78
460000,480000,72
460000,490000,82
470000,400000,72
470000,410000,81
470000,420000,81
470000,430000,94
470000,440000,110
470000,450000,82
470000,460000,70
470000,470000,73
470000,480000,77
470000,490000,76
480000,400000,94
480000,410000,76
480000,420000,95
480000,430000,90
480000,440000,72
480000,450000,85
480000,460000,88
480000,470000,92
480000,480000,95
480000,490000,80
490000,400000,87
490000,410000,94
490000,420000,94
490000,430000,78
490000,440000,63
490000,450000,85
490000,460000,74
490000,470000,83
490000,480000,91
490000,490000,77
220000,330000,65
230000,330000,80
230000,370000,94
230000,380000,95
240000,340000,100
240000,350000,69
240000,360000,97
240000,370000,99
240000,380000,98
250000,340000,63
250000,350000,80
250000,360000,93
250000,370000,107
260000,300000,86
260000,310000,98
260000,320000,75
260000,330000,100
260000,340000,83
260000,350000,78
260000,360000,72
270000,300000,89
270000,310000,98
270000,320000,87
270000,330000,81
270000,340000,84
270000,350000,96
270000,360000,99
270000,370000,87
280000,300000,73
280000,310000,84
280000,320000,67
280000,330000,82
280000,340000,80
280000,350000,85
280000,360000,83
280000,370000,98
290000,300000,77
290000,310000,72
290000,320000,76
290000,330000,83
290000,340000,86
290000,350000,88
290000,360000,87
290000,370000,101
300000,300000,73
300000,310000,86
300000,320000,86
300000,330000,70
300000,340000,104
300000,350000,80
300000,360000,89
300000,370000,107
310000,300000,57
310000,310000,82
310000,320000,71
310000,330000,69
310000,340000,92
310000,350000,77
310000,360000,69
310000,370000,102
320000,300000,93
320000,310000,80
320000,320000,96
320000,330000,90
320000,340000,116
320000,350000,67
320000,360000,74
320000,370000,77
320000,380000,81
330000,300000,101
330000,310000,101
330000,320000,86
330000,330000,86
330000,340000,78
330000,350000,69
330000,360000,69
330000,370000,94
330000,380000,68
330000,390000,67
340000,300000,97
340000,310000,96
340000,320000,85
340000,330000,97
340000,340000,73
340000,350000,91
340000,360000,91
340000,370000,66
340000,380000,75
340000,390000,79
350000,300000,98
350000,310000,101
350000,320000,90
350000,330000,96
350000,340000,78
350000,350000,86
350000,360000,75
350000,370000,94
350000,380000,102
350000,390000,82
360000,300000,96
360000,310000,108
360000,320000,94
360000,330000,98
360000,340000,78
360000,350000,80
360000,360000,91
360000,370000,83
360000,380000,99
360000,390000,99
370000,300000,91
370000,310000,97
370000,320000,94
370000,330000,100
370000,340000,97
370000,350000,101
370000,360000,87
370000,370000,76
370000,380000,87
370000,390000,84
380000,300000,100
380000,310000,101
380000,320000,92
380000,330000,91
380000,340000,91
380000,350000,99
380000,360000,87
380000,370000,95
380000,380000,70
380000,390000,58
390000,300000,85
390000,310000,94
390000,320000,100
390000,330000,92
390000,340000,93
390000,350000,97
390000,360000,104
390000,370000,90
390000,380000,82
390000,390000,88
400000,300000,95
400000,310000,78
400000,320000,95
400000,330000,84
400000,340000,83
400000,350000,82
400000,360000,81
400000,370000,105
400000,380000,93
400000,390000,95
410000,300000,68
410000,310000,101
410000,320000,101
410000,330000,93
410000,340000,85
410000,350000,91
410000,360000,76
410000,370000,81
410000,380000,94
410000,390000,87
420000,300000,106
420000,310000,99
420000,320000,104
420000,330000,76
420000,340000,87
420000,350000,85
420000,360000,97
420000,370000,105
420000,380000,106
420000,390000,107
430000,300000,77
430000,310000,66
430000,320000,108
430000,330000,81
430000,340000,86
430000,350000,87
430000,360000,99
430000,370000,87
430000,380000,85
430000,390000,95
440000,300000,76
440000,310000,86
440000,320000,72
440000,330000,93
440000,340000,85
440000,350000,86
440000,360000,107
440000,370000,106
440000,380000,92
440000,390000,82
450000,300000,89
450000,310000,100
450000,320000,70
450000,330000,97
450000,340000,90
450000,350000,88
450000,360000,88
450000,370000,95
450000,380000,86
450000,390000,85
460000,300000,99
460000,310000,80
460000,320000,67
460000,330000,86
460000,340000,84
460000,350000,83
460000,360000,90
460000,370000,104
460000,380000,93
460000,390000,97
470000,300000,77
470000,310000,81
470000,320000,70
470000,330000,75
470000,340000,80
470000,350000,84
470000,360000,64
470000,370000,74
470000,380000,100
470000,390000,94
480000,300000,111
480000,310000,76
480000,320000,75
480000,330000,81
480000,340000,81
480000,350000,78
480000,360000,90
480000,370000,94
480000,380000,80
480000,390000,73
490000,300000,96
490000,310000,89
490000,320000,60
490000,330000,70
490000,340000,90
490000,350000,46
490000,360000,82
490000,370000,69
490000,380000,74
490000,390000,65
180000,200000,69
180000,210000,67
180000,220000,72
190000,200000,48
190000,210000,56
190000,220000,63
190000,230000,82
200000,200000,65
200000,210000,67
200000,220000,43
200000,230000,78
210000,200000,51
210000,210000,66
210000,220000,84
210000,230000,59
210000,240000,86
220000,210000,76
220000,220000,73
220000,230000,57
220000,240000,71
230000,210000,95
230000,220000,78
230000,230000,82
230000,240000,77
230000,250000,78
240000,200000,97
240000,210000,94
240000,220000,99
240000,230000,79
240000,240000,78
240000,250000,81
250000,200000,91
250000,210000,92
250000,220000,102
250000,230000,80
250000,240000,92
250000,250000,76
250000,260000,74
260000,200000,73
260000,210000,87
260000,220000,99
260000,230000,97
260000,240000,78
260000,250000,89
260000,260000,88
260000,270000,92
260000,280000,84
260000,290000,110
270000,200000,57
270000,210000,76
270000,220000,83
270000,230000,85
270000,240000,89
270000,250000,78
270000,260000,84
270000,270000,95
270000,280000,88
270000,290000,96
280000,200000,72
280000,210000,81
280000,220000,88
280000,230000,80
280000,240000,91
280000,250000,74
280000,260000,78
280000,270000,66
280000,280000,56
280000,290000,83
290000,200000,71
290000,210000,70
290000,220000,89
290000,230000,79
290000,240000,88
290000,250000,93
290000,260000,98
290000,270000,71
290000,280000,80
290000,290000,87
300000,200000,71
300000,210000,80
300000,220000,94
300000,230000,80
300000,240000,89
300000,250000,89
300000,260000,74
300000,270000,68
300000,280000,85
300000,290000,87
310000,200000,78
310000,210000,93
310000,220000,101
310000,230000,87
310000,240000,84
310000,250000,99
310000,260000,70
310000,270000,53
310000,280000,81
310000,290000,84
320000,200000,87
320000,210000,86
320000,220000,78
320000,230000,77
320000,240000,85
320000,250000,72
320000,260000,82
320000,270000,92
320000,280000,95
320000,290000,82
330000,200000,103
330000,210000,94
330000,220000,80
330000,230000,80
330000,240000,92
330000,250000,84
330000,260000,86
330000,270000,93
330000,280000,98
330000,290000,104
340000,200000,85
340000,210000,85
340000,220000,81
340000,230000,84
340000,240000,82
340000,250000,81
340000,260000,82
340000,270000,92
340000,280000,91
340000,290000,88
350000,200000,90
350000,210000,93
350000,220000,80
350000,230000,82
350000,240000,72
350000,250000,83
350000,260000,77
350000,270000,98
350000,280000,90
350000,290000,89
360000,200000,98
360000,210000,96
360000,220000,87
360000,230000,79
360000,240000,76
360000,250000,81
360000,260000,72
360000,270000,93
360000,280000,86
360000,290000,92
370000,200000,95
370000,210000,88
370000,220000,82
370000,230000,86
370000,240000,82
370000,250000,84
370000,260000,81
370000,270000,87
370000,280000,103
370000,290000,95
380000,200000,70
380000,210000,75
380000,220000,83
380000,230000,91
380000,240000,91
380000,250000,75
380000,260000,85
380000,270000,87
380000,280000,90
380000,290000,84
390000,200000,80
390000,210000,85
390000,220000,85
390000,230000,85
390000,240000,89
390000,250000,88
390000,260000,103
390000,270000,82
390000,280000,87
390000,290000,75
400000,200000,73
400000,210000,83
400000,220000,76
400000,230000,64
400000,240000,77
400000,250000,84
400000,260000,85
400000,270000,77
400000,280000,64
400000,290000,84
410000,200000,83
410000,210000,78
410000,220000,84
410000,230000,84
410000,240000,54
410000,250000,80
410000,260000,74
410000,270000,81
410000,280000,78
410000,290000,85
420000,200000,59
420000,210000,70
420000,220000,81
420000,230000,69
420000,240000,73
420000,250000,88
420000,260000,78
420000,270000,66
420000,280000,91
420000,290000,108
430000,200000,81
430000,210000,67
430000,220000,81
430000,230000,71
430000,240000,89
430000,250000,87
430000,260000,81
430000,270000,84
430000,280000,79
430000,290000,69
440000,200000,88
440000,210000,66
440000,220000,82
440000,230000,78
440000,240000,92
440000,250000,90
440000,260000,90
440000,270000,80
440000,280000,89
440000,290000,76
450000,200000,87
450000,210000,76
450000,220000,78
450000,230000,81
450000,240000,82
450000,250000,88
450000,260000,71
450000,270000,76
450000,280000,93
450000,290000,66
460000,200000,67
460000,210000,73
460000,220000,72
460000,230000,71
460000,240000,85
460000,250000,83
460000,260000,70
460000,270000,63
460000,280000,81
460000,290000,79
470000,200000,81
470000,210000,73
470000,220000,70
470000,230000,74
470000,240000,87
470000,250000,83
470000,260000,80
470000,270000,99
470000,280000,72
470000,290000,67
480000,200000,79
480000,210000,79
480000,220000,74
480000,230000,79
480000,240000,73
480000,250000,83
480000,260000,90
480000,270000,75
480000,280000,79
480000,290000,98
490000,200000,84
490000,210000,99
490000,220000,104
490000,230000,98
490000,240000,85
490000,250000,86
490000,260000,67
490000,270000,87
490000,280000,68
490000,290000,85
190000,190000,88
220000,100000,61
220000,110000,85
220000,120000,82
230000,100000,62
230000,110000,72
240000,100000,72
240000,110000,74
240000,120000,90
250000,100000,67
250000,110000,72
250000,120000,62
250000,130000,87
250000,140000,82
250000,190000,90
260000,100000,67
260000,110000,71
260000,120000,60
260000,130000,60
260000,140000,71
260000,190000,77
270000,100000,70
270000,110000,75
270000,120000,69
270000,130000,81
270000,140000,75
270000,190000,84
280000,100000,79
280000,110000,70
280000,120000,71
280000,130000,71
280000,140000,81
280000,180000,85
280000,190000,70
290000,100000,72
290000,110000,75
290000,120000,74
290000,130000,75
290000,140000,78
290000,170000,76
290000,180000,74
290000,190000,40
300000,100000,76
300000,110000,75
300000,120000,58
300000,130000,80
300000,170000,71
300000,180000,84
300000,190000,74
310000,100000,70
310000,110000,83
310000,120000,71
310000,130000,78
310000,170000,55
310000,180000,70
310000,190000,67
320000,100000,82
320000,110000,66
320000,120000,72
320000,130000,85
320000,140000,86
320000,180000,83
320000,190000,84
330000,100000,72
330000,110000,61
330000,120000,82
330000,130000,76
330000,140000,69
330000,150000,83
330000,160000,86
330000,180000,83
330000,190000,90
340000,100000,66
340000,110000,62
340000,120000,63
340000,130000,80
340000,140000,98
340000,150000,84
340000,160000,85
340000,170000,88
340000,190000,89
350000,100000,88
350000,110000,87
350000,120000,61
350000,130000,56
350000,140000,82
350000,150000,100
350000,160000,89
350000,170000,84
350000,180000,84
350000,190000,96
360000,100000,91
360000,110000,86
360000,120000,54
360000,130000,64
360000,140000,65
360000,150000,77
360000,160000,86
360000,170000,69
360000,180000,73
360000,190000,85
370000,100000,76
370000,110000,74
370000,120000,67
370000,130000,62
370000,140000,83
370000,150000,75
370000,160000,80
370000,170000,78
370000,180000,77
370000,190000,80
380000,100000,81
380000,110000,79
380000,120000,71
380000,130000,77
380000,140000,92
380000,150000,74
380000,160000,68
380000,170000,89
380000,180000,70
380000,190000,75
390000,100000,90
