id,Dimension,Measure
S68,basi.height,75
S69,basi.height,84
S70,basi.height,76
S71,basi.height,74
S72,basi.height,82
S73,basi.height,88
S74,basi.height,76
S75,basi.height,81
S76,basi.height,96
S77,basi.height,80
S78,basi.height,82
S79,basi.height,75
S80,basi.height,77
S81,basi.height,84
S82,basi.height,83
S83,basi.height,76
S84,basi.height,93
S85,basi.height,87
S86,basi.height,74
S87,basi.height,74
S88,basi.height,84
S89,basi.height,90
S90,basi.height,80
S91,basi.height,88
S92,basi.height,90
S93,basi.height,78
S94,basi.height,78
S95,basi.height,84
S96,basi.height,88
S97,basi.height,77
S98,basi.height,83
S99,basi.height,87
S100,basi.height,75
S101,basi.height,73
S102,basi.height,84
S103,basi.height,81
S104,basi.height,85
S105,basi.height,78
S106,basi.height,93
S107,basi.height,91
S108,basi.height,95
S109,basi.height,81
S110,basi.height,82
S111,basi.height,86
S112,basi.height,85
S113,basi.height,81
S114,basi.height,84
S115,basi.height,92
S116,basi.height,78
S117,basi.height,86
S118,basi.height,93
S119,basi.height,91
S120,basi.height,82
S121,basi.height,88
S122,basi.height,81
S123,basi.height,98
S124,basi.height,89
S125,basi.height,87
S126,basi.height,86
S127,basi.height,95
S128,basi.height,87
S129,basi.height,83
S130,basi.height,79
S131,basi.height,94
S132,basi.height,89
S133,basi.height,81
S134,basi.height,87
S135,basi.height,90
S136,basi.height,93
S137,basi.height,96
S138,basi.height,90
S139,basi.height,81
S140,basi.height,83
S141,basi.height,95
S142,basi.height,101
S143,basi.height,92
S144,basi.height,93
S145,basi.height,95
S146,basi.height,87
S147,basi.height,95
S148,basi.height,89
S149,basi.height,88
S150,basi.height,95
S1,basi.length,65
S2,basi.length,74
S3,basi.length,74
S4,basi.length,66
S5,basi.length,77
S6,basi.length,72
S7,basi.length,67
S8,basi.length,76
S9,basi.length,80
S10,basi.length,82
S11,basi.length,74
S12,basi.length,90
S13,basi.length,87
S14,basi.length,84
S15,basi.length,86
S16,basi.length,70
S17,basi.length,70
S18,basi.length,78
S19,basi.length,84
S20,basi.length,91
S21,basi.length,85
S22,basi.length,74
S23,basi.length,84
S24,basi.length,88
S25,basi.length,71
S26,basi.length,91
S27,basi.length,74
S28,basi.length,81
S29,basi.length,78
S30,basi.length,88
S31,basi.length,91
S32,basi.length,88
S33,basi.length,79
S34,basi.length,87
S35,basi.length,90
S36,basi.length,97
S37,basi.length,82
S38,basi.length,70
S39,basi.length,80
S40,basi.length,84
S41,basi.length,85
S42,basi.length,82
S43,basi.length,76
S44,basi.length,80
S45,basi.length,79
S46,basi.length,87
S47,basi.length,77
S48,basi.length,90
S49,basi.length,81
S50,basi.length,83
S51,basi.length,82
S52,basi.length,95
S53,basi.length,91
S54,basi.length,84
S55,basi.length,85
S56,basi.length,86
S57,basi.length,81
S58,basi.length,90
S59,basi.length,80
S60,basi.length,82
S61,basi.length,84
S62,basi.length,95
S63,basi.length,83
S64,basi.length,78
S65,basi.length,100
S66,basi.length,89
S67,basi.length,79
S68,basi.length,82
S69,basi.length,85
S70,basi.length,85
S71,basi.length,82
S72,basi.length,76
S73,basi.length,82
S74,basi.length,96
S75,basi.length,84
S76,basi.length,84
S77,basi.length,88
S78,basi.length,88
S79,basi.length,92
S80,basi.length,72
S81,basi.length,83
S82,basi.length,85
S83,basi.length,103
S84,basi.length,68
S85,basi.length,87
S86,basi.length,86
S87,basi.length,90
S88,basi.length,77
S89,basi.length,83
S90,basi.length,96
S91,basi.length,89
S92,basi.length,80
S93,basi.length,92
S94,basi.length,89
S95,basi.length,89
S96,basi.length,78
S97,basi.length,83
S98,basi.length,87
S99,basi.length,106
S100,basi.length,87
S101,basi.length,90
S102,basi.length,89
S103,basi.length,89
S104,basi.length,84
S105,basi.length,92
S106,basi.length,89
S107,basi.length,82
S108,basi.length,81
S109,basi.length,85
S110,basi.length,99
S111,basi.length,96
S112,basi.length,87
S113,basi.length,93
S114,basi.length,89
S115,basi.length,94
S116,basi.length,107
S117,basi.length,91
S118,basi.length,81
S119,basi.length,80
S120,basi.length,95
S121,basi.length,94
S122,basi.length,91
S123,basi.length,89
S124,basi.length,102
S125,basi.length,95
S126,basi.length,99
S127,basi.length,101
S128,basi.length,98
S129,basi.length,99
S130,basi.length,102
S131,basi.length,95
S132,basi.length,101
S133,basi.length,92
S134,basi.length,101
S135,basi.length,91
S136,basi.length,91
S137,basi.length,89
S138,basi.length,99
S139,basi.length,90
S140,basi.length,98
S141,basi.length,90
S142,basi.length,92
S143,basi.length,100
S144,basi.length,92
S145,basi.length,96
S146,basi.length,106
S147,basi.length,109
S148,basi.length,107
S149,basi.length,105
S150,basi.length,100
S1,nasal.height,25
S2,nasal.height,28
S3,nasal.height,30
S4,nasal.height,35
S5,nasal.height,30
S6,nasal.height,32
S7,nasal.height,31
S8,nasal.height,27
S9,nasal.height,29
S10,nasal.height,29
S11,nasal.height,34
S12,nasal.height,27
S13,nasal.height,34
S14,nasal.height,28
S15,nasal.height,25
S16,nasal.height,27
S17,nasal.height,35
S18,nasal.height,38
S19,nasal.height,26
S20,nasal.height,29
S21,nasal.height,29
S22,nasal.height,29
S23,nasal.height,34
S24,nasal.height,36
S25,nasal.height,36
S26,nasal.height,36
S27,nasal.height,37
S28,nasal.height,31
S29,nasal.height,29
S30,nasal.height,22
S31,nasal.height,30
S32,nasal.height,28
S33,nasal.height,37
S34,nasal.height,31
S35,nasal.height,34
S36,nasal.height,35
S37,nasal.height,33
S38,nasal.height,39
S39,nasal.height,29
S40,nasal.height,29
S41,nasal.height,29
S42,nasal.height,28
S43,nasal.height,37
S44,nasal.height,38
S45,nasal.height,32
S46,nasal.height,36
S47,nasal.height,36
S48,nasal.height,33
S49,nasal.height,34
S50,nasal.height,38
S51,nasal.height,39
S52,nasal.height,36
S53,nasal.height,37
S54,nasal.height,37
S55,nasal.height,36
S56,nasal.height,34
S57,nasal.height,30
S58,nasal.height,34
S59,nasal.height,32
S60,nasal.height,31
S61,nasal.height,32
S62,nasal.height,35
S63,nasal.height,32
S64,nasal.height,32
S65,nasal.height,35
S66,nasal.height,41
S67,nasal.height,41
S68,nasal.height,43
S69,nasal.height,40
S70,nasal.height,37
S71,nasal.height,37
S72,nasal.height,39
S73,nasal.height,34
S74,nasal.height,33
S75,nasal.height,47
S76,nasal.height,38
S77,nasal.height,36
S78,nasal.height,42
S79,nasal.height,31
S80,nasal.height,37
S81,nasal.height,45
S82,nasal.height,34
S83,nasal.height,32
S84,nasal.height,35
S85,nasal.height,43
S86,nasal.height,40
S87,nasal.height,41
S88,nasal.height,36
S89,nasal.height,38
S90,nasal.height,39
S91,nasal.height,41
S92,nasal.height,39
S93,nasal.height,39
S94,nasal.height,39
S95,nasal.height,43
S96,nasal.height,40
S97,nasal.height,43
S98,nasal.height,39
S99,nasal.height,39
S100,nasal.height,40
S101,nasal.height,43
S102,nasal.height,38
S103,nasal.height,41
S104,nasal.height,38
S105,nasal.height,35
S106,nasal.height,44
S107,nasal.height,32
S108,nasal.height,50
S109,nasal.height,44
S110,nasal.height,38
S111,nasal.height,40
S112,nasal.height,46
S113,nasal.height,41
S114,nasal.height,37
S115,nasal.height,41
S116,nasal.height,37
S117,nasal.height,46
S118,nasal.height,42
S119,nasal.height,43
S120,nasal.height,38
S121,nasal.height,38
S122,nasal.height,49
S123,nasal.height,40
S124,nasal.height,40
S125,nasal.height,39
S126,nasal.height,48
S127,nasal.height,33
S128,nasal.height,47
S129,nasal.height,52
S130,nasal.height,43
S131,nasal.height,44
S132,nasal.height,46
S133,nasal.height,52
S134,nasal.height,44
S135,nasal.height,43
S136,nasal.height,42
S137,nasal.height,48
S138,nasal.height,46
S139,nasal.height,49
S140,nasal.height,47
S141,nasal.height,51
S142,nasal.height,47
S143,nasal.height,51
S144,nasal.height,47
S145,nasal.height,51
S146,nasal.height,51
S147,nasal.height,48
S148,nasal.height,49
S149,nasal.height,48
S150,nasal.height,40
